Stock ID,Model Photo Links,Model Video Links,FTP Folder,Photo Count,Video Count
665_142,"https://colourdiam.com/Product/Jewellery/Model%20images/665_142/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/center.jpeg",,665_142,3,0
298,,https://colourdiam.com/Product/Jewellery/Model%20images/298/video.mp4,298,0,1
414,,https://colourdiam.com/Product/Jewellery/Model%20images/414/video.mp4,414,0,1
415,,"https://colourdiam.com/Product/Jewellery/Model%20images/415/415.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/415/415_1.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/415/415_2.mp4",415,0,3
416,"https://colourdiam.com/Product/Jewellery/Model%20images/416/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/PHOTO-2021-08-28-15-01-27%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/PHOTO-2021-08-28-15-01-27.jpeg",https://colourdiam.com/Product/Jewellery/Model%20images/416/video.mp4,416,3,1
731,"https://colourdiam.com/Product/Jewellery/Model%20images/731/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/98553059-DFE7-4799-B5B0-3D8E6179BD02.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/PHOTO-2022-04-05-17-54-27%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/B18CA9D3-3972-499B-AEB5-390DACF2D7BF.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/PHOTO-2022-04-05-17-54-27.jpeg","https://colourdiam.com/Product/Jewellery/Model%20images/731/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/731/731.mp4",731,5,2
1135,,"https://colourdiam.com/Product/Jewellery/Model%20images/1135/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1135/1135.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1135/1135_1.mp4",1135,0,3
1263,https://colourdiam.com/Product/Jewellery/Model%20images/1263/center.jpeg,https://colourdiam.com/Product/Jewellery/Model%20images/1263/video.mp4,1263,1,1
1328,https://colourdiam.com/Product/Jewellery/Model%20images/1328/center.jpeg,"https://colourdiam.com/Product/Jewellery/Model%20images/1328/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1328/1328.mp4",1328,1,2
1333_6674_6673,,"https://colourdiam.com/Product/Jewellery/Model%20images/1333_6674/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1333_6674/1333_6674.mp4",1333_6674,0,2
1481,"https://colourdiam.com/Product/Jewellery/Model%20images/1481/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/2E928398-3341-4441-BA7D-66FCE5C5C04E.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/1481/7C2A590F-A895-4C54-A082-F6FE5EFA46D6.jpeg",,1481,3,0
1850,,"https://colourdiam.com/Product/Jewellery/Model%20images/1850/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1850/1850.mp4",1850,0,2
1873,,"https://colourdiam.com/Product/Jewellery/Model%20images/1873/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/1873/1873.mp4",1873,0,2
1996_6379,"https://colourdiam.com/Product/Jewellery/Model%20images/1996_6379/1.jpg
https://colourdiam.com/Product/Jewellery/Model%20images/1996_6379/UN-0638_1.jpg",,1996_6379,2,0
2150,,"https://colourdiam.com/Product/Jewellery/Model%20images/2150/2150.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/2150/new%20video.mp4",2150,0,2
2240,"https://colourdiam.com/Product/Jewellery/Model%20images/2240/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/9701C417-5D54-4533-9B9C-63043177A44B%20%281%29.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/3CB6BC1C-52C9-4915-A39A-5306386DB9A7.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/2240/9701C417-5D54-4533-9B9C-63043177A44B.JPEG",,2240,4,0
2281,,https://colourdiam.com/Product/Jewellery/Model%20images/2281/video.mp4,2281,0,1
2376,,"https://colourdiam.com/Product/Jewellery/Model%20images/2376/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/2376/2376.mp4",2376,0,2
2391_7808,,"https://colourdiam.com/Product/Jewellery/Model%20images/2391_7808/video.mp4
https://colourdiam.com/Product/Jewellery/Model%20images/2391_7808/2391_7808.mp4",2391_7808,0,2
