Location,StockID,Color,Shape,Clarity,Weight,Polish,Symmetry,Measurement,Depth,Table,Fluoresence,Fluoresence Color,Lab,CertNo,Unit,Price/Ct,Curr
Mumbai,8436,PINK,Oval,,55.77,,,,,,,,,,Cts,0,US$
Mumbai,8560,,Oval,,18.56,,,,,,,,,,Cts,0,US$
Bangkok,9468,Fancy Brownish Greenish Yellow,Pear,I1,6.11,EX,GD,14.66 x 9.19 x 6.31,68.7,55,Fnt,,GIA,7448715550,Cts,1800,US$
Hong Kong,7227,PINK,Octagon,,4,,,,,,,,,,Cts,50050,US$
Mumbai,8667,,Round,,3.24,,,,,,,,,,Cts,0,US$
Bangkok,7670,Fancy Light Yellow,Pear,VS1,3.19,EX,EX,12.13X7.49X4.86,64.9,61,Fnt,,GIA,5231070899,Cts,5500,US$
Bangkok,3564,Fancy Brown,Cushion,SI2,3.04,,,8.21X8.21X5.4,,,,,NC,,Cts,0,US$
Mumbai,7534,I,Trillion,SI,3.04,,,,0,0,None,,Side Stone,,Cts,0,US$
Bangkok,9469,Light Brown,Heart,I2,3.02,,,8.42 X 9.10 X 5.13,,,,,NC,,Cts,1500,US$
Mumbai,9577,H,Round,VS2,3.02,EX,EX,9.24 - 9.30 x 5.75,62,60,None,,GIA,2556394342,Cts,0,US$
Mumbai,6282,H,Cushion,VVS2,3.01,EX,EX,8.06 X 7.27 X 5.50,75.7,63,SLIGHT,,HRD,220000049673,Cts,6896,US$
Mumbai,9504,Fancy Brownish Greenish Yellow,Cushion,SI1,3,EX,EX,8.38X7.33X5.21,71.1,58,None,,GIA,6482167712,Cts,2500,US$
Bangkok,6796,Fancy Yellow,Pear,VS2,3,VG,GD,11.56 X 7.52 X 4.63,61.1,59,None,,GIA,7448671092,Cts,7000,US$
Bangkok,6459,G,Emerald,,2.84,,,13.45 X 11.10,0,0,None,,,SV-26,Cts,60000,US$
Mumbai,8071,,Heart,I1,2.79,,,,,,None,,NC,,Cts,0,US$
Bangkok,3070,Fancy Deep Pink,Emerald,SI1,2.52,EX,GD,9.26X6.33X4.16,65.8,64,Fnt,,GIA,5343201847,Cts,2500,US$
Mumbai,9545,Fancy Grayish Yellowish Green,Oval,SI2,2.5,EX,EX,10.66 x 7.37 x 4.68,63.5,58,STG,,GIA,7443836613,Cts,6000,US$
Bangkok,7669,Fancy Brownish Greenish Yellow,Cushion,VS2,2.5,VG,VG,7.66 x 7.13 x 4.98,59.9,58,None,,GIA,6471020124,Cts,2300,US$
Bangkok,7295,Fancy Brownish Greenish Yellow,Cushion,SI2,2.5,VG,VG,7.31 x 7.11 x 4.89,68.8,57,None,,GIA,5433235231,Cts,1500,US$
Hong Kong,9549,F,Pear,VS2,2.3,VG,VG,10.43 x 6.52 x 4.37,67,68,None,,GIA,6551231673,Cts,12500,US$
Mumbai,4143,G,Shield,I1,2.24,G,VG,8.31*15.76*2.45,15.5,81,None,,GIA,6382247149,Cts,2400,US$
Bangkok,6024,,Trapezoid,,2.08,,,8.20 x 5.30,0,0,None,,Side Stone,,Cts,4000,US$
Hong Kong,9579,Light Pinkish Brown,Cushion,VVS2,2.07,EX,VG,9.32 X 6.56 X 4.27,65.1,57,None,,GIA,6525490633,Cts,10000,US$
Bangkok,6032,E,Round,VVS1,2.02,EX,EX,8.31 x 8.37 x 4.85,58.1,66,None,,GIA,1433892808,Cts,18000,US$
Bangkok,7478,W-X,Pear,SI2,2.02,,,9.53 X 6.67 X 4.30,,,,,NC,,Cts,0,US$
Mumbai,7651,Faint Pink,Cushion,SI2,2.02,EX,EX,7.38 X 6.80 X 4.55,66.9,61,None,,GIA,2231066004,Cts,13500,US$
Bangkok,7472,Fancy Brownish Greenish Yellow,Heart,SI2,2.01,,,7.01 X 7.14 X 5.24,,,,,NC,,Cts,0,US$
Bangkok,6918,Very Light Pink,Oval,SI2,2.01,EX,VG,9.70 x 6.85 x 4.56,66.6,58,Fnt,,GIA,5222821829,Cts,22222,US$
Bangkok,8491,Fancy Vivid Yellow,Heart,SI2,2.01,EX,VG,6.89X7.66X4.71,61.4,60,None,,GIA,5493995684,Cts,7200,US$
Mumbai,9219,Fancy Light Greenish Yellow,Cushion,SI2,2.01,VG,VG,6.85 x 6.66 x 4.63,69.6,63,Fnt,,GIA,1236844177,Cts,3600,US$
Bangkok,484,Fancy Yellow,Radiant,VS1,2,EX,GD,7.29X6.86X4.74,69.1,66,None,,GIA,5206339418,Cts,4000,US$
Hong Kong,5484,Fancy Brownish Purplish Pink,Cushion,SI1,2,EX,GD,7.58X6.88X4.41,64.1,57,None,,GIA,1225140879,Cts,25000,US$
Bangkok,7698,Fancy Yellow,Cushion,VS1,2,VG,VG,7.54X6.75X4.56,67,58,Med,,GIA,2476532404,Cts,4000,US$
Bangkok,9409,Fancy Yellow Green,Pear,VVS2,2,EX,VG,10.85 x 6.95 x 4.43,63.7,61,None,,GIA,1236926377,Cts,6000,US$
Hong Kong,5693,W-X,Cushion,VVS1,2,EX,,9X77 x 6.72 x 4.68,69.6,55,,,GIA,6422704441,Cts,2200,US$
Bangkok,5002,,Baguettes,,2,,,4.90 x 2.40,,,,,Side Stone,,Cts,0,US$
Bangkok,6022,,Trapezoid,,1.95,,,8.30 x 5.00,0,0,None,,Side Stone,,Cts,4000,US$
Bangkok,7877,,Pear,VS,1.9,,,,0,0,None,,,,Cts,0,US$
Bangkok,358,Fancy White,Other,,1.86,,,13.52 x 5.17 x 3.32,0,0,None,,GIA,6215426051,Cts,3000,US$
Mumbai,6076,M,Oval,SI2,1.78,VG,VG,8.31 X 6.04 X 4.35,72,56,Vst,,IGI,534245983,Cts,1111,US$
Bangkok,2983,Fancy Yellow Green,Round,SI1,1.72,,,7.87X6.76X3.45,,,None,,CGL,h6549752,Cts,1008,US$
Mumbai,2848,Fancy Deep Brownish Orangy Yellow,Pear,I2,1.7,VG,GD,9.05X5.95X4.22,70.8,55,None,,GIA,1192041511,Cts,900,US$
Mumbai,2552,Fancy Yellowish Brown,Round,SI2,1.69,,,7.4*5.64*4.62,0,0,None,,CGL,h8475107,Cts,1300,US$
Mumbai,2550,Fancy Greenish Yellow,Round,I1,1.66,,,XX,0,0,None,,CGL,h4998984,Cts,1000,US$
Mumbai,9508,Fancy Light Grayish Greenish Yellow,Pear,VS1,1.64,EX,EX,9.32 x 5.83 x 3.95,67.8,66,None,,GIA,1549802421,Cts,0,US$
Mumbai,9559,Light Greenish Yellow,Pear,SI1,1.56,EX,VG,8.86 X 5.61 X 3.91,69.7,65,None,,GIA,2547732710,Cts,115512,US$
Mumbai,9520,Fancy Brownish Greenish Yellow,Radiant,VS2,1.56,EX,EX,7.23 X 5.64 X 3.93,69.6,61,None,,GIA,6542739930,Cts,0,US$
Mumbai,9557,Fancy Yellow Green,Pear,SI1,1.55,EX,VG,9.22 X 5.71 X 3.92,68.7,56,None,,GIA,2557086013,Cts,283967,US$
Mumbai,9514,Fancy Light Greenish Yellow,Pear,SI1,1.54,EX,EX,9.25 X 5.71 X 3.93,68.8,62,None,,GIA,7542560333,Cts,0,US$
Mumbai,191,Fancy Black,Emerald,,1.54,,,6.78 x 6.72 x 3.34,0,0,None,,GIA,2207806572,Cts,1200,US$
Mumbai,9517,Light Greenish Yellow,Pear,VS2,1.53,EX,VG,9.51 X 5.59 X 3.89,69.5,63,None,,GIA,6541732696,Cts,0,US$
Mumbai,6579,E,Cadillac,SI2,1.52,,,6.25X5.4X,0,0,None,,Side Stone,,Cts,3600,US$
Mumbai,8709,Fancy Brownish Greenish Yellow,Cut cornered square,VS1,1.52,EX,VG,6.05 x 6.01 x 4.15,69,66,None,,GIA,6502802577,Cts,1500,US$
Mumbai,2511,Fancy Brownish Greenish Yellow,Round,SI1,1.52,,,,0,0,None,,CGL,H7906382,Cts,1000,US$
Bangkok,5566,Very Light Pink,Cushion,SI2,1.52,VG,EX,6.30X6.11X4.25,69.5,56,Med,Blue,GIA,1418956711,Cts,12000,US$
Mumbai,6025,,Cadillac,,1.51,,,8.80  x 5.10,0,0,None,,Side Stone,,Cts,3600,US$
Mumbai,4584,Fancy Pink Brown,Pear,I1,1.51,EX,EX,9.40*6.02*3.31,63.2,61,None,,GIA,6217782325,Cts,3333,US$
Bangkok,4904,Fancy Light Green Yellow,Heart,VS1,1.51,EX,VG,6.46*7.30*4.08,55.9,58,Fnt,,GIA,3395568912,Cts,4000,US$
Mumbai,9281,Light Pink,Round,SI2,1.51,EX,VG,7.11 - 7.19 x 4.59,64.2,58,None,,GIA,2547206099,Cts,18000,US$
Mumbai,9515,Fancy Light Grayish Greenish Yellow,Cushion,VS2,1.5,EX,VG,7..16 X 5.70 X 3.97,69.6,56,None,,GIA,6541582088,Cts,0,US$
Mumbai,9509,Fancy Brownish Greenish Yellow,Oval,VS2,1.5,EX,VG,8.17 X 5.81 X 3.94,67.9,65,None,,GIA,6532812255,Cts,0,US$
Mumbai,9572,Fancy Yellow,Round,SI2,1.5,EX,VG,6.99 X 7.08 X 4.66,66.2,57,Med,,GIA,1232641676,Cts,0,US$
Bangkok,6361,G,Round,,1.5,,,10.5,0,0,None,,,SV-51,Cts,100040,US$
Bangkok,727,Fancy Vivid Yellow,Round,VS1,1.5,VG,VG,7.22X7.18X4.52,62.8,59,None,,GIA,2161889578,Cts,35000,US$
Mumbai,6608,G,Bullet,SI2,1.45,,,7.1X6.35X,0,0,None,,Side Stone,,Cts,3400,US$
Bangkok,5199,BLACK,Round,I1,1.44,,,,,,,,NC,,Cts,0,US$
Mumbai,6360,G,Round,,1.42,,,10.33,0,0,None,,,SV-46,Cts,94300,US$
Bangkok,3743,Fancy Brown Pink,Radiant,I2,1.41,,,6.39x6.27x3.98,0,0,None,,GIA,5211147141,Cts,14000,US$
Hong Kong,5605,Fancy Grayish Yellowish Green,Radiant,SI1,1.4,EX,VG,6.40 x 6.35 x 3.94,62,66,None,,GIA,7336469700,Cts,2600,US$
Bangkok,6070,Fancy Brown Pink,Radiant,SI2,1.4,G,GD,6.98 X 5.46 X 3.66,67,63,STG,Blue,GIA,7318460994,Cts,10500,US$
Bangkok,268,Fancy White,Round,,1.38,,,7.07 x 7.10 x 4.22,0,0,None,,GIA,6205190913,Cts,3000,US$
Mumbai,6370,G,Round,,1.38,,,10.1,0,0,None,,,SV-52,Cts,89380,US$
Bangkok,6599,,Bullet,,1.37,,,6.85 X 5.70,,,None,,Side Stone,,Cts,0,US$
Mumbai,2208,Fancy Light Green,Radiant,SI1,1.36,VG,GD,6.04 x 5.94 x 4.16,70,63,STG,,GIA,5546507240,Cts,18000,US$
Mumbai,6364,G,Round,,1.36,,,10,0,0,None,,,SV-48,Cts,89380,US$
Mumbai,6366,G,Round,,1.35,,,10.05,0,0,None,,,SV-47,Cts,89380,US$
Bangkok,1524,Fancy White,Round,,1.35,,,6.63X6.69X4.71,0,0,None,,GIA,5181335574,Cts,3000,US$
Bangkok,317,Fancy Intense Purple Pink,Cut cornered square,I1,1.33,VG,GD,6.16X6.08X4.44,73,59,STG,Blue,GIA,2186872649,Cts,70000,US$
Hong Kong,7279,S-T,Cushion,VVS2,1.33,EX,VG,5.95 X 5.94 X 4.10,69.1,65,Med,Blue,GIA,5376100929,Cts,1400,US$
Mumbai,9575,F,Round,SI1,1.32,VG,VG,6.99 - 7.03 x 4.28,61.1,62,None,,GIA,2558620619,Cts,2250,US$
Mumbai,8730,Fancy Light Yellow Green,Cushion,VS1,1.31,VG,VG,6.86 x 5.39 x 3.72,68.9,61,Vst,Blue,GIA,2508802633,Cts,4500,US$
Bangkok,5731,Fancy Greenish Yellow,Pear,SI1,1.31,VG,GD,8.25x6.05x3.71,61.3,56,STG,Blue,GIA,5222359407,Cts,2900,US$
Mumbai,6587,G,Cadillac,,1.31,,,6.35X5.35X,0,0,None,,Side Stone,,Cts,3100,US$
Mumbai,8889,Fancy Light Yellow Green,Marquise,SI1,1.3,VG,VG,10.93x5.82x3.59,61.7,54,None,,GIA,7531745432,Cts,6500,US$
Mumbai,6591,F,Cadillac,,1.29,,,6.6X5.25X,0,0,None,,Side Stone,,Cts,2900,US$
Bangkok,6611,,Kite Step Cut,,1.29,,,7.55X4.55,,,,,Side Stone,,Cts,0,US$
Bangkok,4914,Light Pink,Radiant,IF,1.28,G,GD,6.63 x 5.67 x 3.70,65.2,63,None,,GIA,2235703169,Cts,20000,US$
Hong Kong,7122,Faint Pink,Round,VS1,1.23,EX,EX,6.83*6.89*4.24,61.8,57,None,,GIA,2215089864,Cts,6000,US$
Mumbai,8833,Light Greenish Yellow,Cushion,SI1,1.23,G,VG,5.89 x 5.84 x 3.99,68.3,59,Vst,,GIA,6542045254,Cts,2000,US$
Mumbai,9519,Fancy Light Brownish Greenish Yellow,Radiant,VS1,1.23,EX,VG,6.72 X 5.24 X 3.60,68.6,61,None,,GIA,6542802271,Cts,0,US$
Hong Kong,9578,Fancy Green,Cushion,SI2,1.22,G,GD,5.89 x 5.82 x 4.00,68.7,55,None,,GIA,2176401754,Cts,35000,US$
Mumbai,8717,Light Green Yellow,Marquise,VVS2,1.21,EX,EX,10.48x5.58x3.41,61,58,STG,Blue,GIA,5523181323,Cts,3600,US$
Bangkok,7803,Fancy Intense Yellow,Pear,VS2,1.2,EX,VG,8.86 X 5.73 X 3.38,59.1,57,Med,,GIA,6475181630,Cts,3600,US$
Mumbai,9476,Light Green Yellow,Oval,VVS2,1.2,EX,EX,8.64 x 5.75 x 3.59,62.5,63,None,,GIA,1545845849,Cts,2000,US$
Bangkok,6609,,Bullet,,1.16,,,7.35 x 4.20,,,,,Side Stone,,Cts,0,US$
Mumbai,105,Fancy Pink Purple,Cushion,VS1,1.16,G,GD,5.76 X 5.49 X 3.98,72.4,65,None,,GIA,5146792163,Cts,90000,US$
Mumbai,9536,N,Pear,VS2,1.15,VG,VG,8.85 X 5.11 X 3.49,68.3,61,STG,,GIA,6555696836,Cts,750,US$
Bangkok,6614,,Shield,,1.14,,,8.05 x 4.25,,,,,Side Stone,,Cts,0,US$
Bangkok,6612,H,Shield,,1.14,,,7.80 X 4.30,,,None,,Side Stone,,Cts,0,US$
Mumbai,9165,Fancy Light Yellow Green,Round,SI2,1.14,G,GD,6.69 - 6.74 x 4.13,61.5,61,STG,,GIA,6542176855,Cts,6000,US$
Bangkok,6561,,Cadillac,SI-VS,1.14,,,6.00 X 5.00,,,,,,,Cts,0,US$
Mumbai,6601,G,Bullet,SI2,1.14,,,6.9X5.6X,0,0,None,,Side Stone,,Cts,3400,US$
Mumbai,6606,I,Half Moon,SI2,1.13,,,7.05X4X,0,0,None,,Side Stone,,Cts,2900,US$
Bangkok,6456,,Star,,1.13,,,11.5,0,0,None,,Side Stone,SV-30,Cts,0,US$
Mumbai,6026,,Cadillac,,1.12,,,9.60 x 4.50,0,0,None,,Side Stone,,Cts,2700,US$
Mumbai,4386,Fancy Light Yellow,Cushion,I3,1.12,VG,VG,6.01*5.64*3.83,67.9,56,Fnt,,GIA,5211422310,Cts,600,US$
Mumbai,9542,M,Pear,SI1,1.12,VG,VG,8.49 X 4.99 X 3.48,69.7,63,None,,GIA,1559696854,Cts,600,US$
Bangkok,5625,F,Cadillac,VS1,1.12,,,5.85 x 4.70,,,None,,Side Stone,,Cts,2700,US$
Bangkok,6603,,Cadillac,,1.11,,,7.00 X 5.60,,,None,,Side Stone,,Cts,2700,US$
