# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Shipping details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free shipping overlay in your ads. Use a semi-colon ';' or a comma "";"" to separate multiple shipping details for different regions or countries. Only people in the specified region or country will see shipping details for that region or country. You can leave out the region (keep the double '::') if your shipping details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,"# Optional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: ""Valid while supplies last. Terms and conditions apply.""","# Optional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: ""https://example.com/terms-and-conditions""",# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item’s Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you’re sure it’s correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].tag[0],gtin,product_tags[1],style[0]
665_142,https://images.colourdiam.com/videos/665_142/model_front_1080p.mp4,https://cdn.colourdiam.com/images/665_142_3.jpg,in stock,new,729422.37 INR,https://colourdiam.com/productdetail/Menu/665/142,https://www.colourdiam.com/Product/Jewellery/665_142/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
298,2.01 Ct Fancy Intense Yellow I1 18K - Ring : 3.252 gram Main Stone - 1 Pcs 2.01 Cts Round WHITE 83 Pcs 0.34 Cts,https://images.colourdiam.com/products/STK298-3.jpg,in stock,new,2193751.5 INR,https://colourdiam.com/productdetail/298,https://www.colourdiam.com/Product/Jewellery/298/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
414,https://colourdiam.com/Product/Jewellery/Model%20images/414/video.mp4,https://images.colourdiam.com/stk414-pink-ring-model-3.jpg,in stock,new,603281.66 INR,https://colourdiam.com/productdetail/414,https://www.colourdiam.com/Product/Jewellery/414/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
415,https://images.colourdiam.com/videos/415/model_hand_1.mp4,https://images.colourdiam.com/stk415-model-3.jpg,in stock,new,603281.66 INR,https://colourdiam.com/productdetail/415,https://www.colourdiam.com/Product/Jewellery/415/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
416,https://videos.colourdiam.com/stk416-very-light-pink-ring-model.mp4,https://images.colourdiam.com/stk416-very-light-pink-ring-3.jpg,in stock,new,603281.66 INR,https://colourdiam.com/productdetail/416,https://www.colourdiam.com/Product/Jewellery/416/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
461,https://videos.colourdiam.com/stk461-1.mp4,https://images.colourdiam.com/stk461-3.jpg,in stock,new,1151719.54 INR,,https://www.colourdiam.com/Product/Jewellery/461/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
633,https://colourdiam.com/cdn/shop/videos/AGL633053336.mp4,https://colourdiam.com/cdn/shop/files/AGL633053336_3.jpg,in stock,new,493594.09 INR,,https://www.colourdiam.com/Product/Jewellery/633/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
731,https://videos.colourdiam.com/stk731-fancy-light-green-diamond-ring-wear-1.mp4,https://images.colourdiam.com/stk731-fancy-light-green-diamond-ring-model-3.jpg,in stock,new,1590469.84 INR,https://colourdiam.com/productdetail/731,https://www.colourdiam.com/Product/Jewellery/731/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1003,https://videos.colourdiam.com/stk1003-yellow-ring-model-1.mp4,https://images.colourdiam.com/stk1003-yellow-ring-model-3.jpg,in stock,new,1700157.41 INR,,https://www.colourdiam.com/Product/Jewellery/1003/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1135,https://colourdiam.com/Product/Jewellery/Model%20images/1135/video.mp4,https://images.colourdiam.com/stk1135-yellow-ring-pear-1-02ct-3.jpg,in stock,new,548437.88 INR,https://colourdiam.com/productdetail/1135,https://www.colourdiam.com/Product/Jewellery/1135/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1263,"A breathtaking 0.30 carat Fancy Green diamond ring featuring vibrant pink and yellow accent stones set in 5.183 grams of 18K gold. Certified by AGL, this magnificent piece showcases exceptional VS clarity and brilliant natural sparkle.",Shop ColourDiam 0.30 Ct Green Diamond Ring,in stock,new,197437.64 INR,https://colourdiam.com/productdetail/1263,https://www.colourdiam.com/Product/Jewellery/1263/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
1328,https://videos.colourdiam.com/stk1328-fancy-light-green-trillion-diamond-ring-model-1.mp4,https://images.colourdiam.com/stk1328-model-3.jpg,in stock,new,1316250.9 INR,https://colourdiam.com/productdetail/1328,https://www.colourdiam.com/Product/Jewellery/1328/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1333_6674_6673,0.91 ct Fancy Intense Yellow SI1 0.32 ct F VS2 0.31 ct D VVS2  18K Ring : 3.98 gram Main Stone - 1 Pcs  0.91 Cts Heart : 02 / 0.63,https://images.colourdiam.com/products/1333_6674_6673/model_3.jpg,in stock,new,1700157.41 INR,https://colourdiam.com/productdetail/Menu/1333/6674/6673,https://www.colourdiam.com/Product/Jewellery/1333_6674_6673/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1477,https://videos.colourdiam.com/1477-1.mp4,https://images.colourdiam.com/1477-3.jpg,in stock,new,1096875.75 INR,,https://www.colourdiam.com/Product/Jewellery/1477/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
