# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Shipping details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free shipping overlay in your ads. Use a semi-colon ';' or a comma "";"" to separate multiple shipping details for different regions or countries. Only people in the specified region or country will see shipping details for that region or country. You can leave out the region (keep the double '::') if your shipping details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,"# Optional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: ""Valid while supplies last. Terms and conditions apply.""","# Optional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: ""https://example.com/terms-and-conditions""",# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item’s Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you’re sure it’s correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].tag[0],gtin,product_tags[1],style[0]
665_142,0.84 Ct Fancy Yellow VS1/ 0.82 Ct Fancy Yellow VS2 18k-Earring : 6.15 gram Main stone - 2 pcs – 1.66 cts WD : 52 / 0.391  YD : 44 / 0.511,"https://colourdiam.com/Product/Jewellery/Model%20images/665_142/1.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/2.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/colour-diam-model-images-09.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/colour-diam-model-images-10.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/665_142/colour-diam-model-images-11.jpeg",in stock,new,251537.75 THB,https://colourdiam.com/productdetail/Menu/665/142,https://www.colourdiam.com/Product/Jewellery/665_142/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
298,"2.01 Ct Fancy Intense Yellow I1 18K - Ring : 3.252 gram Main Stone - 1 Pcs 2.01 Cts Round WHITE 83 Pcs 0.34 Cts","2.01 Ct Fancy Intense Yellow I1
18K - Ring : 3.252 gram
Main Stone - 1 Pcs 2.01 Cts
Round WHITE 83 Pcs 0.34 Cts",in stock,new,756504.5 THB,https://colourdiam.com/productdetail/298,https://www.colourdiam.com/Product/Jewellery/298/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
414,0.377 – Fancy Pink SI1 18K Platinum Ring: 6.895 gram WD : 37 / 0.61,"0.377 – Fancy Pink SI1
18K Platinum Ring: 6.895 gram
WD : 37 / 0.61",in stock,new,208038.74 THB,https://colourdiam.com/productdetail/414,https://www.colourdiam.com/Product/Jewellery/414/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
415,0.175 cts Fancy Pink Ring SI1  18k Platinum Ring : 5.634 gram                                              WD : 50 / 0.81,"0.175 cts Fancy Pink Ring SI1 
18k Platinum Ring : 5.634 gram                                             
WD : 50 / 0.81",in stock,new,208038.74 THB,https://colourdiam.com/productdetail/415,https://www.colourdiam.com/Product/Jewellery/415/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
416,0.272 cts Very Light Pink Ring SI1  18k Platinum Ring : 7.805 gram                                              WD : 22 / 0.32,"https://colourdiam.com/Product/Jewellery/Model%20images/416/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/colour-diam-model-images-01.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/colour-diam-model-images-02.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/colour-diam-model-images-03.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/PHOTO-2021-08-28-15-01-27%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/416/PHOTO-2021-08-28-15-01-27.jpeg",in stock,new,208038.74 THB,https://colourdiam.com/productdetail/416,https://www.colourdiam.com/Product/Jewellery/416/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
461,1.26 cts Fancy Intense Yellow Ring SI1  18k Ring : 5.69 gram                                              WD : 68 / 0.259 YD : 30 / 0.223 PEAR : 08 / 0.30,"1.26 cts Fancy Intense Yellow Ring SI1 
18k Ring : 5.69 gram                                             
WD : 68 / 0.259
YD : 30 / 0.223
PEAR : 08 / 0.30",in stock,new,397164.86 THB,,https://www.colourdiam.com/Product/Jewellery/461/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
633,1.62 cts Fancy Green Ring SI  18k Ring : 4.67 gram                                              WD : 67 / 0.532 YD : 44 / 0.20,"1.62 cts Fancy Green Ring SI 
18k Ring : 4.67 gram                                             
WD : 67 / 0.532
YD : 44 / 0.20",in stock,new,170213.51 THB,,https://www.colourdiam.com/Product/Jewellery/633/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
731,0.83 cts Fancy Light Green Ring VS1  18k Ring : 4.347 gram                                              WD : 44 / 0.058 PD : 62 / 0.328,"https://colourdiam.com/Product/Jewellery/Model%20images/731/98553059-DFE7-4799-B5B0-3D8E6179BD02.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/B18CA9D3-3972-499B-AEB5-390DACF2D7BF.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/center.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/colour-diam-model-images-12.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/colour-diam-model-images-13.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/colour-diam-model-images-14.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/colour-diam-model-images-15.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/colour-diam-model-images-16.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/PHOTO-2022-04-05-17-54-27%202.jpeg
https://colourdiam.com/Product/Jewellery/Model%20images/731/PHOTO-2022-04-05-17-54-27.jpeg",in stock,new,548465.76 THB,https://colourdiam.com/productdetail/731,https://www.colourdiam.com/Product/Jewellery/731/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1003,1.05 cts Fancy Yellow Ring SI1  18k Ring : 4.07 gram                                              WD : 40 / 0.26,"1.05 cts Fancy Yellow Ring SI1 
18k Ring : 4.07 gram                                             
WD : 40 / 0.26",in stock,new,586290.99 THB,,https://www.colourdiam.com/Product/Jewellery/1003/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1135,1.02 cts Fancy Intense yellow Ring 18k : 5.55 gram  PEAR : 8 / 0.485  YD : 50 / 0.247 WD : 21 / 0.237,"1.02 cts Fancy Intense yellow Ring
18k : 5.55 gram 
PEAR : 8 / 0.485 
YD : 50 / 0.247
WD : 21 / 0.237",in stock,new,189126.13 THB,https://colourdiam.com/productdetail/1135,https://www.colourdiam.com/Product/Jewellery/1135/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
