id,title,description,link,image_link,price,availability,item_group_id,product_type,google_product_category,additional_image_link,sale_price,average_review_rating,number_of_ratings,number_of_reviews,description_html,video_link,brand,GTIN,mpn,color,gender,age_group,material,pattern,size,size_type,size_system,alt_text,variant_names,variant_values,adult,tax,shipping,shipping_weight,shipping_width,shipping_height,free_shipping_label,free_shipping_limit,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,ad_link,condition
Unique ID that represents the product. (required),"Name of the product (same name as the product from the landing page, including variant details, such as color and size). (required)",Description of the product. (required),Landing page for the product (needs to lead directly to the same product and showcase the same data). (required),"Link to the main product image (at least 75x75 pixels, accessible by our user-agent and no template or placeholder images).
If you change the image later, you’ll need to use a different link or the image will not update. (required)","Price of the product (should reflect the true cost of the product and include currency in ISO-4217 if it's not US dollars, otherwise we’ll default to US dollars). (required)",Availability of the product. (required),Parent ID of the product. (only required when products have multiple variants),Categorization of your product based on your custom product taxonomy.,Categorization of the product based on the standardized Google Product Taxonomy.,"Links to up to 10 additional images of your product (at least 75x75 pixels, accessible by our user-agent and no template or placeholder images).
We'll create a new pin for every additional image link. If you change the image later, you’ll need to use a different link or the image will not update.","Discounted price of the product (should be lower than the price and include currency in ISO-4217 if it's not US dollars, otherwise we’ll default to US dollars)
If provided, the sale price will be considered the current price of the item.",Average amount of reviews for the product.,Number of ratings for the product.,Number of reviews for the product.,"HTML description for the product.
Recommended: Use this if your description is longer than 200 characters.
If this field is provided, we’ll use it instead of the required description field.","Hosted link to the product video.
File types for linked videos must be .mp4, .mov or .m4v.
File size cannot exceed 2GB.
Note: It can take up to a week for all uploaded videos to be ingested and created.",Brand of the product,Unique universal product identifier,Manufacturer part number of the product,Primary color of the product.,Gender associated with the product.,Age associated with the product.,Material used to make the product.,Pattern used for the product.,Size of the product.,Additional description for the size of the product.,The country’s sizing system in which you’re submitting your product.,Description of what appears in the main images of the product.,Options for this variant of the product (People on Pinterest will see these options next to your Pin and can select the one they want).,Value options for this variant of the product (People on Pinterest will see these options next to your Pin and can select the one they want).,Whether the product is adult or not. Adult products will not be shown on Pinterest.,Tax details for the product,Shipping details for the product,Weight of the product.,Width of the package needed to ship the product.,Height of the package needed to ship the product.,"Whether you provide free shipping for the product or not.
If you do, enter 0 in the free_shipping_limit field. If you only offer free shipping after someone spends a specific amount, enter that amount in the free_shipping_limit field.",Minimum order purchase necessary to obtain free shipping of the product.,Custom grouping of products (up to five),Custom grouping of products (up to five),Custom grouping of products (up to five),Custom grouping of products (up to five),Custom grouping of products (up to five),Link that can be used to track traffic coming from Pinterest shopping ads.,Condition of the product.
Maximum of 127 characters.,Maximum of 500 characters.,"Maximum of 10,000 characters in plain text (not HTML).","String URL.
Maximum of 511 characters and the URL must start with http:// (we do not recommend hardwalls).","String URL.
Maximum of 2,000 characters, starting with http:// or https:// (encode or remove commas).
Recommended: Enclosing the string with quotes.","<numeric>
<ISO 4217>
Currency can come before or after the numeric price value, with or without space and follow the standard ISO-4217 code. Do not use 0 values or currency symbols.","Should be one of the following values:
in stock
out of stock
preorder",Maximum of 127 characters.,"Maximum of five subcategories, with a maximum of 1,000 characters must be separated by > wrapped by spaces (We do not recognize other delimiters such as the comma or pipe).","See the English full taxonomy. Visit Google’s Help Center to access taxonomies for additional languages.
Both text values and numeric codes are accepted.","Maximum of 2,000 characters each, starting with http:// or https:// (encode or remove commas).
Recommended: Enclosing the string with quotes.","<numeric>
<ISO 4217>
Currency can come before or after the numeric price value, with or without space and follow the standard ISO-4217 code. Do not use 0 values or currency symbols.","<numeric>
Between 1-5",<numeric>,<numeric>,HTML formatting,"String URL.
Maximum of 2,000 characters, starting with http:// or https://",Maximum of 100 characters,Numeric following GTIN guidelines,Maximum of 70 alphanumeric characters,Maximum of 30 characters.,"Should be one of the following values:

male
female
unisex","Should be one of the following values:
newborn
infant
toddler
kids
adult",Maximum of 30 characters.,Maximum of 30 characters.,Maximum of 30 characters.,"Should be one of the following values:
regular
petite
plus
big_and_tall
maternity",Country code.,"One or more alt text values, separated by commas. The number of alt text values should match the number of images in your image_link field. Commas should be encoded as &#44, or removed if they’re part of the alt text. Commas should be used to separate multiple alt texts.",Texts separated by commas listed in the order you want them displayed.,"Texts separated by commas listed in the order you want them displayed.
Should be consistent with the order of the variant_names field.","Should be one of the following values:
true
false","Consists of one group of up to four elements: country, region, rate (all required) and tax_ship (optional). Colons, even for blank values, are required.
country:region:rate(required):tax_ship","Consists of one group of up to four elements: country, region, service (all optional) and price (required). Colons, even for blank values, are required.
country:region:service:price(required)","<numeric> <metric>
Make sure there’s a space between the numeric string and the metric.","<numeric> <metric>
Make sure there’s a space between the numeric string and the metric.","<numeric> <metric>
Make sure there’s a space between the numeric string and the metric.","Should be one of the following values:
true
false","<numeric>
<ISO 4217>",Maximum of 200 characters,Maximum of 200 characters,Maximum of 200 characters,Maximum of 200 characters,Maximum of 200 characters,"String URL.
Should send full URL including tracking, not just tracking parameters.
We currently do not support impression tracking.
Must begin with http:// or https://","Should be one of the following values:
new
used
refurbished"
665_142,1.66ct Fancy Yellow VS GIA 18k Yellow Gold Earrings,0.84-carat Fancy Yellow Earring | 18k | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/Menu/665/142,https://www.colourdiam.com/Product/Jewellery/665_142/white45/center.jpg,7647.50 USD,in stock,,Earring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/665_142/white45/center.jpg,https://colourdiam.com/Product/Jewellery/665_142/white45/colour-diam-665-142-0-84-ct-fancy-yellow-vs1-gia-earring-colour-diam-06.jpg,https://colourdiam.com/Product/Jewellery/665_142/white45/colour-diam-665-142-0-84-ct-fancy-yellow-vs1-gia-earring-colour-diam-07.jpg",,,,,,https://colourdiam.com/Product/Jewellery/665_142/white45/video.mp4,Colour Diam,,665_142,Fancy Yellow,unisex,adult,,,,,,0.84-carat Fancy Yellow Earring set in 18k | Natural Fancy Yellow diamond jewellery — GIA certified | Luxury earring with 0.84-carat Fancy Yellow center stone,,,false,,,,,,true,0 USD,Earring,Fancy Yellow,Art Deco Revival,Premium ($5K - $10K),Rare Radiance — Yellow Masterpieces,,new
298,2.01ct Fancy Intense Yellow GIA 18K Gold Ring,2.01-carat Fancy Intense Yellow Ring | 18K | GIA Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/298,https://www.colourdiam.com/Product/Jewellery/298/white45/center.jpg,23000.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/298/black360/B298_1.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_2.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_3.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_4.jpg,https://colourdiam.com/Product/Jewellery/298/black360/center.jpg",,,,,,https://colourdiam.com/Product/Jewellery/298/black360/B298_5.mp4,Colour Diam,,298,Fancy Yellow,unisex,adult,,,,,,2.01-carat Fancy Intense Yellow Ring set in 18K | Natural Fancy Intense Yellow diamond jewellery — GIA certified | Luxury ring with 2.01-carat Fancy Intense Yellow center stone,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Yellow,Classic Elegance,Luxury ($10K - $50K),Heritage Yellow — A Collector's Series,,new
414,0.377ct Fancy Pink SI1 Platinum Diamond Ring,-carat Fancy Pink Ring | 18K | NON CERTIFIED Certified | An exquisite investment piece for the discerning collector. Rare natural fancy colour diamond jewellery.,https://colourdiam.com/productdetail/414,https://www.colourdiam.com/Product/Jewellery/414/white45/center.jpg,6325.00 USD,in stock,,Pink Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/414/white45/colour-diam-414-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/414/white45/colour-diam-414-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/414/white45/colour-diam-414-pink-ring-10.jpg",,,,,,https://colourdiam.com/Product/Jewellery/414/white45/video.mp4,Colour Diam,,414,Fancy Pink,unisex,adult,,,,,,-carat Fancy Pink Ring set in 18K | Natural Fancy Pink diamond jewellery — NON CERTIFIED certified | Luxury ring with -carat Fancy Pink center stone,,,false,,,,,,true,0 USD,Pink Ring,Fancy Pink,Modern Minimalist,Premium ($5K - $10K),The Pink Majesty Collection,,new
415,0.18ct Fancy Pink SI1 18k Platinum Diamond Ring,Discover timeless elegance with this 0.175 cts Fancy Pink Ring from ColourDiam. Crafted in 5.634g of 18k platinum with SI1 clarity and brilliant white diamond accents. Free worldwide shipping included. #PinkDiamondRing #FineJewelry #ColourDiam,https://colourdiam.com/productdetail/415,https://www.colourdiam.com/Product/Jewellery/415/white45/center.jpg,6325.00 USD,in stock,,Pink Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/415/white45/1.jpg,https://colourdiam.com/Product/Jewellery/415/white45/2.jpg,https://colourdiam.com/Product/Jewellery/415/white45/3.jpg,https://colourdiam.com/Product/Jewellery/415/white45/center.jpg",,,,,,https://colourdiam.com/Product/Jewellery/415/white45/vid.mp4,Colour Diam,,415,Pink,unisex,adult,,,,,,Close-up of a 0.175 Carat Fancy Pink diamond ring set in a white diamond halo 18k platinum band.,,,false,,,,,,true,0 USD,Pink Ring,Pink,Bespoke Halo Ring,Ultra Luxury,Rare Blush Collection,,new
416,0.27ct Very Light Pink Diamond Platinum Ring,"Indulge in understated luxury with this 0.272 ct Very Light Pink natural diamond ring, featuring a stunning SI1 clarity set in 7.805g of 18k platinum and accented with 0.32 ct white diamonds. Free worldwide shipping on all orders. #PinkDiamondRing #FineJewelry #LuxuryDiamonds",https://colourdiam.com/productdetail/416,https://www.colourdiam.com/Product/Jewellery/416/white45/center.jpg,6325.00 USD,in stock,,Pink Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/416/balck360/B416_5.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/B416_7.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/B416_8.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/center.JPG,https://colourdiam.com/Product/Jewellery/416/black45/B416_2.jpg,https://colourdiam.com/Product/Jewellery/416/black45/B416_3.jpg,https://colourdiam.com/Product/Jewellery/416/black45/center.JPG",,,,,,https://colourdiam.com/Product/Jewellery/416/balck360/360.mp4,Colour Diam,,416,Pink,unisex,adult,,,,,,Front view of a 0.272 Ct pastel pink diamond ring on a polished platinum band with white side diamonds.,,,false,,,,,,true,0 USD,Pink Ring,Pink,Contemporary Romantic,High Luxury,Blush Elegance Collection,,new
461,1.26ct Fancy Intense Yellow GIA 18k Yellow Gold Ring,"Exude timeless elegance with this 1.26 ct natural fancy intense yellow diamond ring in 18k gold. Featuring GIA certification and brilliant side diamonds, it is a true masterpiece. Enjoy free worldwide shipping.",https://colourdiam.com/productdetail/461,https://www.colourdiam.com/Product/Jewellery/461/white45/center.jpg,12075.00 USD,in stock,,Yellow Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/461/white45/461_1.jpg,https://colourdiam.com/Product/Jewellery/461/white45/461_2.jpg,https://colourdiam.com/Product/Jewellery/461/white45/461_3.jpg,https://colourdiam.com/Product/Jewellery/461/white45/CENTER.jpg.jpg",,,,,,https://colourdiam.com/Product/Jewellery/461/white45/461_4%20%28May%201%2C%202025%204-28-03%20AM%29.mp4,Colour Diam,,461,Fancy Intense Yellow,unisex,adult,,,,,,Luxury GIA 1.26 carat intense canary yellow diamond ring framed with architectural pear-cut diamonds and yellow and white pavé accents.,,,false,,,,,,true,0 USD,Yellow Ring,Fancy Intense Yellow,Statement Halo & Accent Cluster Ring,"Ultra Luxury ($10,000 - $15,000)",Aurelia Sunburst Collection,,new
633,1.62ct Fancy Green SI AGL 18k Gold Ring,Mesmerizing 1.62 ct fancy green natural diamond ring set in 18k gold with sparkling side stones. AGL certified. Elevate your collection with free worldwide shipping today! #GreenDiamond #LuxuryJewelry #NaturalDiamond #ColourDiam,https://colourdiam.com/productdetail/633,https://www.colourdiam.com/Product/Jewellery/633/white45/center.jpg,5175.00 USD,in stock,,Green Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/633/white45/center.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-25.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-26.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-27.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-28.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-29.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-40.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-41.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-42.jpg",,,,,,https://colourdiam.com/Product/Jewellery/633/white45/633_1.mp4,Colour Diam,,633,Green,unisex,adult,,,,,,A rare 1.62 carat natural green diamond ring with an inner yellow pavé halo and an outer round white diamond halo in 18k yellow gold.,,,false,,,,,,true,0 USD,Green Ring,Green,Botanical Heritage Statement Ring,Ultra-Luxury,Verdant Aura Fine Collection,,new
731,0.83ct Fancy Light Green VS1 GIA 18k Green Ring,Exquisite 0.83 ct Fancy Light Green diamond ring set in 18k gold with VS1 clarity. GIA certified natural green diamond with free worldwide shipping. #GreenDiamond #FineJewelry #ColourDiam,https://colourdiam.com/productdetail/731,https://www.colourdiam.com/Product/Jewellery/731/white45/center.jpg,16675.00 USD,in stock,,Green Ring,Apparel & Accessories > Jewelry,"https://colourdiam.com/Product/Jewellery/731/white45/1.jpg,https://colourdiam.com/Product/Jewellery/731/white45/2.jpg,https://colourdiam.com/Product/Jewellery/731/white45/center.jpg,https://colourdiam.com/Product/Jewellery/731/white45/colour-diam-731-green-ring-0-83-ct-fancy-light-green-diamond-ring-colour-diam-08.jpg,https://colourdiam.com/Product/Jewellery/731/white45/colour-diam-731-green-ring-0-83-ct-fancy-light-green-diamond-ring-colour-diam-09.jpg,https://colourdiam.com/Product/Jewellery/731/white45/colour-diam-731-green-ring-0-83-ct-fancy-light-green-diamond-ring-colour-diam-10.jpg",,,,,,https://colourdiam.com/Product/Jewellery/731/white45/video.mp4,Colour Diam,,731,Green,unisex,adult,,,,,,GIA 0.83 ct Fancy Light Green diamond ring with pink and white diamond accents in 18k gold.,,,false,,,,,,true,0 USD,Green Ring,Green,Botanical Elegance,Ultra Luxury,Verdant Aura,,new
