Category,Product Name,Product Description,Maximum Purchase Quantity,Maximum Purchase Quantity - Start Date,Maximum Purchase Quantity - Time Period (in Days),Maximum Purchase Quantity - End Date,Minimum Purchase Quantity,Parent SKU,Variation Integration No.,Variation Name1,Option for Variation 1,Image per Variation,Variation Name2,Option for Variation 2,Price,Stock,SKU,Size Chart Template,Size Chart Image,GTIN,Cover image,Item Image 1,Item Image 2,Item Image 3,Item Image 4,Item Image 5,Item Image 6,Item Image 7,Item Image 8,Weight,Length,Width,Height,Standard Delivery - ส่งธรรมดาในประเทศ,Pre-order DTS,Fail Reason
,0.84 Ct Fancy Yellow VS1 GIA Earring | Colour Diam,"Exquisite Earring featuring a 0.84 carat Fancy Yellow (VS1), set in luxurious 18k. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",1,,,,1,665_142,,,,,,,7647.499999999999,1,665_142,,,,https://www.colourdiam.com/Product/Jewellery/665_142/white45/center.jpg,https://colourdiam.com/Product/Jewellery/665_142/white45/colour-diam-665-142-0-84-ct-fancy-yellow-vs1-gia-earring-colour-diam-06.jpg,https://colourdiam.com/Product/Jewellery/665_142/white45/colour-diam-665-142-0-84-ct-fancy-yellow-vs1-gia-earring-colour-diam-07.jpg,,,,,,,,,,,On,,
,2.01 Ct Fancy Intense Yellow I1 GIA Ring | Colour Diam,"Brilliant Ring featuring a 2.01 carat Fancy Intense Yellow (I1), set in luxurious 18K. an heirloom-quality treasure for discerning collectors — a true masterpiece for the most discerning connoisseur.",1,,,,1,298,,,,,,,23000,1,298,,,,https://www.colourdiam.com/Product/Jewellery/298/white45/center.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_1.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_2.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_3.jpg,https://colourdiam.com/Product/Jewellery/298/black360/B298_4.jpg,https://colourdiam.com/Product/Jewellery/298/black360/center.jpg,,,,,,,,On,,
,0.377 Ct Fancy Pink SI1 Ring | Colour Diam,"Radiant Ring featuring a  carat Fancy Pink (SI1), set in luxurious 18K. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",1,,,,1,414,,,,,,,6324.999999999999,1,414,,,,https://www.colourdiam.com/Product/Jewellery/414/white45/center.jpg,https://colourdiam.com/Product/Jewellery/414/white45/colour-diam-414-pink-ring-08.jpg,https://colourdiam.com/Product/Jewellery/414/white45/colour-diam-414-pink-ring-09.jpg,https://colourdiam.com/Product/Jewellery/414/white45/colour-diam-414-pink-ring-10.jpg,,,,,,,,,,On,,
,0.175 Ct Fancy Pink SI1 Ring | Colour Diam,"Elegant 18k Platinum ring featuring a 0.175 ct Fancy Pink SI1 diamond center, surrounded by 50 round white diamonds (0.81 cts) for a stunning, high-brilliance look.",1,,,,1,415,,,,,,,6324.999999999999,1,415,,,,https://www.colourdiam.com/Product/Jewellery/415/white45/center.jpg,https://colourdiam.com/Product/Jewellery/415/white45/1.jpg,https://colourdiam.com/Product/Jewellery/415/white45/2.jpg,https://colourdiam.com/Product/Jewellery/415/white45/3.jpg,,,,,,,,,,On,,
,0.272 Ct Very Light Pink SI1 Ring | Colour Diam,"Sophisticated 18k Platinum ring showcasing a 0.272 ct Very Light Pink SI1 diamond, beautifully minimalist with 22 white diamond accents (0.32 cts).",1,,,,1,416,,,,,,,6324.999999999999,1,416,,,,https://www.colourdiam.com/Product/Jewellery/416/white45/center.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/B416_5.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/B416_7.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/B416_8.jpg,https://colourdiam.com/Product/Jewellery/416/balck360/center.JPG,https://colourdiam.com/Product/Jewellery/416/black45/B416_2.jpg,https://colourdiam.com/Product/Jewellery/416/black45/B416_3.jpg,https://colourdiam.com/Product/Jewellery/416/black45/center.JPG,,,,,,On,,
,1.26 Ct Fancy Intense Yellow SI1 GIA Ring | Colour Diam,"Breathtaking 18k gold cocktail ring centering a GIA-certified 1.26 ct Fancy Intense Yellow SI1 diamond, intricately surrounded by mixed white, yellow, and pear-cut accent diamonds.",1,,,,1,461,,,,,,,12074.999999999998,1,461,,,,https://www.colourdiam.com/Product/Jewellery/461/white45/center.jpg,https://colourdiam.com/Product/Jewellery/461/white45/461_1.jpg,https://colourdiam.com/Product/Jewellery/461/white45/461_2.jpg,https://colourdiam.com/Product/Jewellery/461/white45/461_3.jpg,https://colourdiam.com/Product/Jewellery/461/white45/CENTER.jpg.jpg,,,,,,,,,On,,
,1.62 Ct Fancy Green SI AGL Ring | Colour Diam,"Exceptionally rare 18k gold ring centering an AGL-certified 1.62 ct Fancy Green SI diamond, complemented by a dual border of 67 white and 44 yellow diamonds.",1,,,,1,633,,,,,,,5175,1,633,,,,https://www.colourdiam.com/Product/Jewellery/633/white45/center.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-25.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-26.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-27.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-28.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-29.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-40.jpg,https://colourdiam.com/Product/Jewellery/633/white45/colour-diam-633-1-62-ct-fancy-green-si-agl-ring-colour-diam-41.jpg,,,,,,On,,
,0.83 Ct Fancy Light Green VS1 GIA Ring | Colour Diam,"An elegant 18k gold ring centered with a 0.83 ct Fancy Light Green VS1 diamond. The rare green hue is framed by 44 white diamonds totaling 0.058 ct and 62 pink diamonds totaling 0.328 ct, creating a refined contrast of cool brilliance and soft color. Weighing 4.347 grams, this GIA-certified piece balances delicacy with distinctive character. Its layered color palette makes it an exceptional choice for collectors and clients seeking a sophisticated fancy color diamond ring with an unmistakably individual presence.",1,,,,1,731,,,,,,,16675,1,731,,,,https://www.colourdiam.com/Product/Jewellery/731/white45/center.jpg,https://colourdiam.com/Product/Jewellery/731/white45/1.jpg,https://colourdiam.com/Product/Jewellery/731/white45/2.jpg,https://colourdiam.com/Product/Jewellery/731/white45/colour-diam-731-green-ring-0-83-ct-fancy-light-green-diamond-ring-colour-diam-08.jpg,https://colourdiam.com/Product/Jewellery/731/white45/colour-diam-731-green-ring-0-83-ct-fancy-light-green-diamond-ring-colour-diam-09.jpg,https://colourdiam.com/Product/Jewellery/731/white45/colour-diam-731-green-ring-0-83-ct-fancy-light-green-diamond-ring-colour-diam-10.jpg,,,,,,,,On,,
,1.05 Ct Fancy Yellow SI1 GIA Ring | Colour Diam,"A refined 18k gold ring featuring a 1.05 ct Fancy Yellow SI1 diamond, certified by GIA. Forty white diamonds totaling 0.26 ct surround the center stone, adding crisp brilliance while preserving the warm yellow color as the focal point. The 4.07-gram setting offers an elegant balance between presence and wearability. Designed for clients who appreciate distinctive color with a classic silhouette, this ring combines documented diamond specifications, graceful craftsmanship and timeless appeal in a sophisticated Colour Diam jewel.",1,,,,1,1003,,,,,,,17825,1,1003,,,,https://www.colourdiam.com/Product/Jewellery/1003/white45/center.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/CENTER.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/colour-diam-1003-yellow-ring-1-05-ct-fancy-yellow-gia-diamond-ring-colour-diam-08.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/colour-diam-1003-yellow-ring-1-05-ct-fancy-yellow-gia-diamond-ring-colour-diam-09.jpg,https://colourdiam.com/Product/Jewellery/1003/white45/colour-diam-1003-yellow-ring-1-05-ct-fancy-yellow-gia-diamond-ring-colour-diam-10.jpg,,,,,,,,,On,,
,1.02 Ct Fancy Intense Yellow GIA Ring | Colour Diam,"A dramatic 18k gold ring centered with a 1.02 ct Fancy Intense Yellow diamond and accompanied by GIA certificate 7141644489. Eight pear-shaped diamonds totaling 0.485 ct form an expressive accent, while 50 yellow diamonds totaling 0.247 ct and 21 white diamonds totaling 0.237 ct enrich the design with layered color and brilliance. Weighing 5.55 grams, this statement ring combines vivid yellow color with intricate craftsmanship and a strong visual presence.",1,,,,1,1135,,,,,,,5750,1,1135,,,,https://www.colourdiam.com/Product/Jewellery/1135/white45/center.jpg,,,,,,,,,,,,,On,,
